ID;Ano;Extrato_Ano;Variavel_Ano;Niveis_Ano;Percentual_Ano
436;2018;Area Rural-2;Tipo de Cobertura;Amianto;72.6
437;2018;Area Rural-2;Tipo de Cobertura;Palha;16.7
438;2018;Area Rural-2;Tipo de Cobertura;Madeira;7.1
439;2018;Area Rural-2;Tipo de Cobertura;Telha de Barro;3.6
440;2018;Area Rural-2;Tipo de Cobertura;Outro;0
441;2019;Area Rural-2;Tipo de Cobertura;Amianto;74.2
442;2019;Area Rural-2;Tipo de Cobertura;Palha;19.1
443;2019;Area Rural-2;Tipo de Cobertura;Madeira;4.5
444;2019;Area Rural-2;Tipo de Cobertura;Telha de Barro;3.4
445;2019;Area Rural-2;Tipo de Cobertura;Outro;1.1
446;2020;Area Rural-2;Tipo de Cobertura;Amianto;77.6
447;2020;Area Rural-2;Tipo de Cobertura;Palha;12.2
448;2020;Area Rural-2;Tipo de Cobertura;Madeira;4.1
449;2020;Area Rural-2;Tipo de Cobertura;Telha de Barro;8.2
450;2020;Area Rural-2;Tipo de Cobertura;Outro;0
451;2012;Area Urbana-1;Tipo de Cobertura;Amianto;57.4
452;2012;Area Urbana-1;Tipo de Cobertura;Palha;42.6
453;2012;Area Urbana-1;Tipo de Cobertura;Madeira;1.9
454;2012;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0
455;2012;Area Urbana-1;Tipo de Cobertura;Outro;0
456;2013;Area Urbana-1;Tipo de Cobertura;Amianto;73.7
457;2013;Area Urbana-1;Tipo de Cobertura;Palha;31.6
458;2013;Area Urbana-1;Tipo de Cobertura;Madeira;1.1
459;2013;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0
460;2013;Area Urbana-1;Tipo de Cobertura;Outro;0
461;2014;Area Urbana-1;Tipo de Cobertura;Amianto;73.3
462;2014;Area Urbana-1;Tipo de Cobertura;Palha;26.7
463;2014;Area Urbana-1;Tipo de Cobertura;Madeira;1.2
464;2014;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0
465;2014;Area Urbana-1;Tipo de Cobertura;Outro;0
466;2015;Area Urbana-1;Tipo de Cobertura;Amianto;74.7
467;2015;Area Urbana-1;Tipo de Cobertura;Palha;25.3
468;2015;Area Urbana-1;Tipo de Cobertura;Madeira;1.3
469;2015;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0
470;2015;Area Urbana-1;Tipo de Cobertura;Outro;0
471;2016;Area Urbana-1;Tipo de Cobertura;Amianto;78.3
472;2016;Area Urbana-1;Tipo de Cobertura;Palha;18.9
473;2016;Area Urbana-1;Tipo de Cobertura;Madeira;0.9
474;2016;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0.9
475;2016;Area Urbana-1;Tipo de Cobertura;Outro;0.9
476;2017;Area Urbana-1;Tipo de Cobertura;Amianto;77.3
477;2017;Area Urbana-1;Tipo de Cobertura;Palha;20.9
478;2017;Area Urbana-1;Tipo de Cobertura;Madeira;0
479;2017;Area Urbana-1;Tipo de Cobertura;Telha de Barro;1.8
480;2017;Area Urbana-1;Tipo de Cobertura;Outro;0
481;2018;Area Urbana-1;Tipo de Cobertura;Amianto;81.8
482;2018;Area Urbana-1;Tipo de Cobertura;Palha;18.2
483;2018;Area Urbana-1;Tipo de Cobertura;Madeira;0
484;2018;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0.9
485;2018;Area Urbana-1;Tipo de Cobertura;Outro;0
486;2019;Area Urbana-1;Tipo de Cobertura;Amianto;84.2
487;2019;Area Urbana-1;Tipo de Cobertura;Palha;15
488;2019;Area Urbana-1;Tipo de Cobertura;Madeira;0
489;2019;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0.8
490;2019;Area Urbana-1;Tipo de Cobertura;Outro;0
491;2020;Area Urbana-1;Tipo de Cobertura;Amianto;91.8
492;2020;Area Urbana-1;Tipo de Cobertura;Palha;8.2
493;2020;Area Urbana-1;Tipo de Cobertura;Madeira;0
494;2020;Area Urbana-1;Tipo de Cobertura;Telha de Barro;0
495;2020;Area Urbana-1;Tipo de Cobertura;Outro;0
496;2012;Area Urbana-2;Tipo de Cobertura;Amianto;91.1
497;2012;Area Urbana-2;Tipo de Cobertura;Palha;0
498;2012;Area Urbana-2;Tipo de Cobertura;Madeira;4.4
499;2012;Area Urbana-2;Tipo de Cobertura;Telha de Barro;2.2
500;2012;Area Urbana-2;Tipo de Cobertura;Outro;2.2
501;2013;Area Urbana-2;Tipo de Cobertura;Amianto;97.1
502;2013;Area Urbana-2;Tipo de Cobertura;Palha;0.7
503;2013;Area Urbana-2;Tipo de Cobertura;Madeira;0
504;2013;Area Urbana-2;Tipo de Cobertura;Telha de Barro;3.6
505;2013;Area Urbana-2;Tipo de Cobertura;Outro;0
506;2014;Area Urbana-2;Tipo de Cobertura;Amianto;93.7
507;2014;Area Urbana-2;Tipo de Cobertura;Palha;0.7
508;2014;Area Urbana-2;Tipo de Cobertura;Madeira;0.7
509;2014;Area Urbana-2;Tipo de Cobertura;Telha de Barro;4.2
510;2014;Area Urbana-2;Tipo de Cobertura;Outro;0.7
511;2015;Area Urbana-2;Tipo de Cobertura;Amianto;94.6
512;2015;Area Urbana-2;Tipo de Cobertura;Palha;4
513;2015;Area Urbana-2;Tipo de Cobertura;Madeira;0.7
514;2015;Area Urbana-2;Tipo de Cobertura;Telha de Barro;1.3
515;2015;Area Urbana-2;Tipo de Cobertura;Outro;2.7
516;2016;Area Urbana-2;Tipo de Cobertura;Amianto;95.7
517;2016;Area Urbana-2;Tipo de Cobertura;Palha;0
518;2016;Area Urbana-2;Tipo de Cobertura;Madeira;0.7
519;2016;Area Urbana-2;Tipo de Cobertura;Telha de Barro;3.6
520;2016;Area Urbana-2;Tipo de Cobertura;Outro;0
521;2017;Area Urbana-2;Tipo de Cobertura;Amianto;93.8
522;2017;Area Urbana-2;Tipo de Cobertura;Palha;0.8
523;2017;Area Urbana-2;Tipo de Cobertura;Madeira;1.5
524;2017;Area Urbana-2;Tipo de Cobertura;Telha de Barro;3.1
525;2017;Area Urbana-2;Tipo de Cobertura;Outro;0.8
526;2018;Area Urbana-2;Tipo de Cobertura;Amianto;97.7
527;2018;Area Urbana-2;Tipo de Cobertura;Palha;0.8
528;2018;Area Urbana-2;Tipo de Cobertura;Madeira;0
529;2018;Area Urbana-2;Tipo de Cobertura;Telha de Barro;1.5
530;2018;Area Urbana-2;Tipo de Cobertura;Outro;0
531;2019;Area Urbana-2;Tipo de Cobertura;Amianto;96.2
532;2019;Area Urbana-2;Tipo de Cobertura;Palha;0
533;2019;Area Urbana-2;Tipo de Cobertura;Madeira;0
534;2019;Area Urbana-2;Tipo de Cobertura;Telha de Barro;3.8
535;2019;Area Urbana-2;Tipo de Cobertura;Outro;0
536;2020;Area Urbana-2;Tipo de Cobertura;Amianto;94.5
537;2020;Area Urbana-2;Tipo de Cobertura;Palha;0
538;2020;Area Urbana-2;Tipo de Cobertura;Madeira;0
539;2020;Area Urbana-2;Tipo de Cobertura;Telha de Barro;5.5
540;2020;Area Urbana-2;Tipo de Cobertura;Outro;0
541;2012;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;60
542;2012;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;10
543;2012;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;30
544;2013;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;82.8
545;2013;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;7.5
546;2013;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;9.7
547;2014;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;73.9
548;2014;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;5.7
549;2014;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;20.5
550;2015;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;93.8
551;2015;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;0
552;2015;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;6.2
553;2016;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;80
554;2016;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;12.5
555;2016;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;7.5
556;2017;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;66.2
557;2017;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;28.2
558;2017;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;7
559;2018;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;43.9
560;2018;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;45.1
561;2018;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;13.4
562;2019;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;56.8
563;2019;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;33.3
564;2019;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;13.6
565;2020;Area Rural-1;Localizacao Instalacao Sanitaria;Fora de Casa;48.6
566;2020;Area Rural-1;Localizacao Instalacao Sanitaria;Dentro de Casa;54.1
567;2020;Area Rural-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;10.8
568;2012;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;87
569;2012;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;8.7
570;2012;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;4.3
571;2013;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;79.7
572;2013;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;4.1
573;2013;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;16.2
574;2014;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;64
575;2014;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;2.3
576;2014;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;33.7
577;2015;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;89.7
578;2015;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;0
579;2015;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;10.3
580;2016;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;79.5
581;2016;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;12.8
582;2016;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;7.7
583;2017;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;67.4
584;2017;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;16.3
585;2017;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;17.4
586;2018;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;70.2
587;2018;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;17.9
588;2018;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;11.9
589;2019;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;70.8
590;2019;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;19.1
591;2019;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;13.5
592;2020;Area Rural-2;Localizacao Instalacao Sanitaria;Fora de Casa;34.7
593;2020;Area Rural-2;Localizacao Instalacao Sanitaria;Dentro de Casa;24.5
594;2020;Area Rural-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;40.8
595;2012;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;57.4
596;2012;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;27.8
597;2012;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;14.8
598;2013;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;70.5
599;2013;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;23.2
600;2013;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;6.3
601;2014;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;81.4
602;2014;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;9.3
603;2014;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;9.3
604;2015;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;88.6
605;2015;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;8.9
606;2015;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;2.5
607;2016;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;68.9
608;2016;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;21.7
609;2016;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;9.4
610;2017;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;49.1
611;2017;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;40
612;2017;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;11.8
613;2018;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;45.5
614;2018;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;50
615;2018;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;5.5
616;2019;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;38.3
617;2019;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;45.8
618;2019;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;17.5
619;2020;Area Urbana-1;Localizacao Instalacao Sanitaria;Fora de Casa;32.8
620;2020;Area Urbana-1;Localizacao Instalacao Sanitaria;Dentro de Casa;52.5
621;2020;Area Urbana-1;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;14.8
622;2012;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;64.4
623;2012;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;33.3
624;2012;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;2.2
625;2013;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;62.9
626;2013;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;33.6
627;2013;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;3.6
628;2014;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;57
629;2014;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;42.3
630;2014;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;0.7
631;2015;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;65.8
632;2015;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;28.9
633;2015;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;5.4
634;2016;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;58.6
635;2016;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;38.6
636;2016;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;4.3
637;2017;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;31.5
638;2017;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;66.9
639;2017;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;3.1
640;2018;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;30.3
641;2018;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;70.5
642;2018;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;1.5
643;2019;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;31.1
644;2019;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;68.9
645;2019;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;1.9
646;2020;Area Urbana-2;Localizacao Instalacao Sanitaria;Fora de Casa;20
647;2020;Area Urbana-2;Localizacao Instalacao Sanitaria;Dentro de Casa;67.3
648;2020;Area Urbana-2;Localizacao Instalacao Sanitaria;Nao Possui Instalacao;16.4
649;2012;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;5
650;2012;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;75
651;2012;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;20
652;2012;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
653;2012;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;0
654;2013;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;6.5
655;2013;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;68.8
656;2013;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;24.7
657;2013;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
658;2013;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;0
659;2014;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;0
660;2014;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;45.5
661;2014;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;54.5
662;2014;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
663;2014;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;0
664;2015;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;0
665;2015;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;26.2
666;2015;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;73.8
667;2015;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
668;2015;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;0
669;2016;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;6.2
670;2016;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;33.8
671;2016;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;33.8
672;2016;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;1.2
673;2016;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;25
674;2017;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;29.6
675;2017;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;64.8
676;2017;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;4.2
677;2017;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
678;2017;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;1.4
679;2018;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;11
680;2018;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;64.6
681;2018;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;24.4
682;2018;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
683;2018;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;0
684;2019;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;24.7
685;2019;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;58
686;2019;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;16
687;2019;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
688;2019;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;1.2
689;2020;Area Rural-1;Disposicao dos Efluentes Domesticos;Fossa Septica;43.2
690;2020;Area Rural-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;10.8
691;2020;Area Rural-1;Disposicao dos Efluentes Domesticos;Vala Negra;45.9
692;2020;Area Rural-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
693;2020;Area Rural-1;Disposicao dos Efluentes Domesticos;Outros;0
694;2012;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;0
695;2012;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;95.7
696;2012;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;4.3
697;2012;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
698;2012;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;0
699;2013;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;0
700;2013;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;71.6
701;2013;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;28.4
702;2013;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
703;2013;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;0
704;2014;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;0
705;2014;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;43
706;2014;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;57
707;2014;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
708;2014;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;0
709;2015;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;0
710;2015;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;21.8
711;2015;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;78.2
712;2015;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
713;2015;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;0
714;2016;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;6.4
715;2016;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;35.9
716;2016;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;48.7
717;2016;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
718;2016;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;9
719;2017;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;9.8
720;2017;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;76.1
721;2017;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;14.1
722;2017;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
723;2017;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;0
724;2018;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;4.8
725;2018;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;75
726;2018;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;19
727;2018;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;1.2
728;2018;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;0
729;2019;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;20.2
730;2019;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;43.8
731;2019;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;34.8
732;2019;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
733;2019;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;1.1
734;2020;Area Rural-2;Disposicao dos Efluentes Domesticos;Fossa Septica;24.5
735;2020;Area Rural-2;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;40.8
736;2020;Area Rural-2;Disposicao dos Efluentes Domesticos;Vala Negra;34.7
737;2020;Area Rural-2;Disposicao dos Efluentes Domesticos;Rede Geral;0
738;2020;Area Rural-2;Disposicao dos Efluentes Domesticos;Outros;0
739;2012;Area Urbana-1;Disposicao dos Efluentes Domesticos;Fossa Septica;20.4
740;2012;Area Urbana-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;59.3
741;2012;Area Urbana-1;Disposicao dos Efluentes Domesticos;Vala Negra;20.4
742;2012;Area Urbana-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
743;2012;Area Urbana-1;Disposicao dos Efluentes Domesticos;Outros;0
744;2013;Area Urbana-1;Disposicao dos Efluentes Domesticos;Fossa Septica;16.8
745;2013;Area Urbana-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;67.4
746;2013;Area Urbana-1;Disposicao dos Efluentes Domesticos;Vala Negra;15.8
747;2013;Area Urbana-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
748;2013;Area Urbana-1;Disposicao dos Efluentes Domesticos;Outros;0
749;2014;Area Urbana-1;Disposicao dos Efluentes Domesticos;Fossa Septica;1.2
750;2014;Area Urbana-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;44.2
751;2014;Area Urbana-1;Disposicao dos Efluentes Domesticos;Vala Negra;54.7
752;2014;Area Urbana-1;Disposicao dos Efluentes Domesticos;Rede Geral;0
753;2014;Area Urbana-1;Disposicao dos Efluentes Domesticos;Outros;0
754;2015;Area Urbana-1;Disposicao dos Efluentes Domesticos;Fossa Septica;0
755;2015;Area Urbana-1;Disposicao dos Efluentes Domesticos;Nao Tem Instalacao;45.6
756;2015;Area Urbana-1;Disposicao dos Efluentes Domesticos;Vala Negra;54.4
